Publication_Author,Publication_Journal,Publication_Year,Publication_ID,Taxa,Phylum,Class,Order,Family,Genus,Species,Broad_Group,Observed_ED,Predicted_ED,Assignment_Level,Assigned_Lookup_Name,Absolute_Error,APE,n_raw_records
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Balistes polylepis,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,polylepis,Teleostei,6.19,5.62,Broad group,Teleostei,0.57,9.2084006462,1
Neighbors and Nafpaktitis,Marine Biology,1982,Neighbors and Nafpaktitis | Marine Biology | 1982,Nannobrachium ritteri,Chordata,Teleostei,Myctophiformes,Myctophidae,Nannobrachium,ritteri,Teleostei,6.98,7.0,Family,Myctophidae,0.02,0.2865329513,1
Neighbors and Nafpaktitis,Marine Biology,1982,Neighbors and Nafpaktitis | Marine Biology | 1982,Symbolophorus californiensis,Chordata,Teleostei,Myctophiformes,Myctophidae,Symbolophorus,californiensis,Teleostei,5.69,7.0,Family,Myctophidae,1.31,23.0228471002,1
Neighbors and Nafpaktitis,Marine Biology,1982,Neighbors and Nafpaktitis | Marine Biology | 1982,Triphoturus mexicanus,Chordata,Teleostei,Myctophiformes,Myctophidae,Triphoturus,mexicanus,Teleostei,7.7,7.0,Family,Myctophidae,0.7,9.0909090909,1
Payne et al.,Fisheries Oceanography,1999,Payne et al. | Fisheries Oceanography | 1999,Gadus chalcogrammus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,chalcogrammus,Teleostei,3.93,4.7,Family,Gadidae,0.77,19.5928753181,1
Payne et al.,Fisheries Oceanography,1999,Payne et al. | Fisheries Oceanography | 1999,Trichodon trichodon,Chordata,Teleostei,Perciformes,Trichodontidae,Trichodon,trichodon,Teleostei,5.15,5.62,Broad group,Teleostei,0.47,9.1262135922,1
Pedersen and Hislop,Journal of Fish Biology,2001,Pedersen and Hislop | Journal of Fish Biology | 2001,Ammodytes marinus,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,marinus,Teleostei,5.01,5.8,Genus,Ammodytes,0.79,15.7684630739,11
Pedersen and Hislop,Journal of Fish Biology,2001,Pedersen and Hislop | Journal of Fish Biology | 2001,Melanogrammus aeglefinus,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus,aeglefinus,Teleostei,4.5,4.7,Family,Gadidae,0.2,4.4444444444,37
Pedersen and Hislop,Journal of Fish Biology,2001,Pedersen and Hislop | Journal of Fish Biology | 2001,Pollachius virens,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,virens,Teleostei,5.0,4.2,Genus,Pollachius,0.8,16.0,32
Pedersen and Hislop,Journal of Fish Biology,2001,Pedersen and Hislop | Journal of Fish Biology | 2001,Trisopterus esmarkii,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,esmarkii,Teleostei,4.6,4.9,Genus,Trisopterus,0.3,6.5217391304,22
Perez,NOAA Technical Memorandum,1994,Perez | NOAA Technical Memorandum | 1994,Anoplopoma fimbria,Chordata,Teleostei,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Teleostei,5.42,5.62,Broad group,Teleostei,0.2,3.6900369004,1
Perez,NOAA Technical Memorandum,1994,Perez | NOAA Technical Memorandum | 1994,Atheresthes stomias,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,stomias,Teleostei,5.13,5.6,Family,Pleuronectidae,0.47,9.1617933723,1
Perez,NOAA Technical Memorandum,1994,Perez | NOAA Technical Memorandum | 1994,Gadus chalcogrammus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,chalcogrammus,Teleostei,4.68,4.7,Family,Gadidae,0.02,0.4273504274,1
Perez,NOAA Technical Memorandum,1994,Perez | NOAA Technical Memorandum | 1994,Gadus macrocephalus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,macrocephalus,Teleostei,3.94,4.7,Family,Gadidae,0.76,19.2893401015,1
Perez,NOAA Technical Memorandum,1994,Perez | NOAA Technical Memorandum | 1994,Morone saxatilis,Chordata,Teleostei,Perciformes,Moronidae,Morone,saxatilis,Teleostei,6.24,6.0,Family,Moronidae,0.24,3.8461538462,1
Perez,NOAA Technical Memorandum,1994,Perez | NOAA Technical Memorandum | 1994,Sebastes alutus,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,alutus,Teleostei,6.17,5.1,Family,Scorpaenidae,1.07,17.3419773096,1
Rippetoe,Thesis--University of Maryland,1993,Rippetoe | Thesis--University of Maryland | 1993,Brevoortia tyrannus,Chordata,Teleostei,Clupeiformes,Clupeidae,Brevoortia,tyrannus,Teleostei,3.87,6.99,Family,Clupeidae,3.12,80.6201550388,8
Roby et al.,Canadian Journal of Zoology,2003,Roby et al. | Canadian Journal of Zoology | 2003,Oncorhynchus kisutch,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,Teleostei,5.04,5.62,Broad group,Teleostei,0.58,11.5079365079,1
Roby et al.,Canadian Journal of Zoology,2003,Roby et al. | Canadian Journal of Zoology | 2003,Oncorhynchus mykiss,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,Teleostei,4.61,5.62,Broad group,Teleostei,1.01,21.9088937093,1
Roby et al.,Canadian Journal of Zoology,2003,Roby et al. | Canadian Journal of Zoology | 2003,Oncorhynchus tshawytscha,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,Teleostei,3.98,5.62,Broad group,Teleostei,1.64,41.2060301508,1
Roby et al.,Canadian Journal of Zoology,2003,Roby et al. | Canadian Journal of Zoology | 2003,Ptychocheilus oregonensis,Chordata,Teleostei,Cypriniformes,Leuciscidae,Ptychocheilus,oregonensis,Teleostei,5.69,5.62,Broad group,Teleostei,0.07,1.230228471,1
Schloesser and Fabrizio,Transactions of the American Fisheries Society,2015,Schloesser and Fabrizio | Transactions of the American Fisheries Society | 2015,Micropogonias undulatus,Chordata,Teleostei,Perciformes,Sciaenidae,Micropogonias,undulatus,Teleostei,4.73,5.56,Family,Sciaenidae,0.83,17.5475687104,2
Schloesser and Fabrizio,Transactions of the American Fisheries Society,2015,Schloesser and Fabrizio | Transactions of the American Fisheries Society | 2015,Morone saxatilis,Chordata,Teleostei,Perciformes,Moronidae,Morone,saxatilis,Teleostei,4.965,6.0,Family,Moronidae,1.035,20.8459214502,2
Schloesser and Fabrizio,Transactions of the American Fisheries Society,2015,Schloesser and Fabrizio | Transactions of the American Fisheries Society | 2015,Paralichthys dentatus,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,dentatus,Teleostei,4.315,5.62,Broad group,Teleostei,1.305,30.2433371958,2
Schultz and Conover,Oecologia,1997,Schultz and Conover | Oecologia | 1997,Menidia menidia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Menidia,menidia,Teleostei,4.04,5.62,Broad group,Teleostei,1.58,39.1089108911,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Albatrossia pectoralis,Chordata,Teleostei,Gadiformes,Macrouridae,Albatrossia,pectoralis,Teleostei,4.68,5.1,Family,Macrouridae,0.42,8.9743589744,2
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Bathylagus milleri,Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,milleri,Teleostei,6.26,5.62,Broad group,Teleostei,0.64,10.2236421725,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Bathylagus ochotensis,Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,ochotensis,Teleostei,3.045,5.62,Broad group,Teleostei,2.575,84.5648604269,2
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Belonella borealis,Mollusca,Cephalopoda,Teuthida,Cranchiidae,Belonella,borealis,Cephalopoda,3.69,4.7,Broad group,Cephalopoda,1.01,27.3712737127,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Benthalbella dentata,Chordata,Teleostei,Aulopiformes,Scopelarchidae,Benthalbella,dentata,Teleostei,10.6,5.62,Broad group,Teleostei,4.98,46.9811320755,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Berryteuthis anonychus,Mollusca,Cephalopoda,Teuthida,Gonatidae,Berryteuthis,anonychus,Cephalopoda,4.26,4.7,Broad group,Cephalopoda,0.44,10.3286384977,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Berryteuthis magister,Mollusca,Cephalopoda,Teuthida,Gonatidae,Berryteuthis,magister,Cephalopoda,3.75,4.7,Broad group,Cephalopoda,0.95,25.3333333333,3
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Bothrocara brunneum,Chordata,Teleostei,Perciformes,Zoarcidae,Bothrocara,brunneum,Teleostei,2.42,5.62,Broad group,Teleostei,3.2,132.2314049587,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Chauliodus macouni,Chordata,Teleostei,Stomiiformes,Stomiidae,Chauliodus,macouni,Teleostei,5.44,2.8,Family,Stomiidae,2.64,48.5294117647,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Chiroteuthis calyx,Mollusca,Cephalopoda,Teuthida,Chiroteuthidae,Chiroteuthis,calyx,Cephalopoda,3.56,4.7,Broad group,Cephalopoda,1.14,32.0224719101,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Diaphus theta,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,theta,Teleostei,12.1,7.0,Family,Myctophidae,5.1,42.1487603306,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Eogonatus tinro,Mollusca,Cephalopoda,Teuthida,Gonatidae,Eogonatus,tinro,Cephalopoda,6.69,4.7,Broad group,Cephalopoda,1.99,29.7458893871,2
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Galiteuthis phyllura,Mollusca,Cephalopoda,Teuthida,Cranchiidae,Galiteuthis,phyllura,Cephalopoda,3.51,4.7,Broad group,Cephalopoda,1.19,33.9031339031,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Gonatopsis borealis,Mollusca,Cephalopoda,Teuthida,Gonatidae,Gonatopsis,borealis,Cephalopoda,3.81,4.7,Broad group,Cephalopoda,0.89,23.3595800525,3
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Gonatus berryi,Mollusca,Cephalopoda,Teuthida,Gonatidae,Gonatus,berryi,Cephalopoda,5.0,4.7,Broad group,Cephalopoda,0.3,6.0,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Lampanyctus jordani,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,jordani,Teleostei,11.6,4.1,Genus,Lampanyctus,7.5,64.6551724138,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Leuroglossus schmidti,Chordata,Teleostei,Osmeriformes,Bathylagidae,Leuroglossus,schmidti,Teleostei,7.84,5.62,Broad group,Teleostei,2.22,28.3163265306,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Lycodapus fierasfer,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodapus,fierasfer,Teleostei,4.58,5.62,Broad group,Teleostei,1.04,22.7074235808,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Macropinna microstoma,Chordata,Teleostei,Osmeriformes,Opisthoproctidae,Macropinna,microstoma,Teleostei,4.18,5.62,Broad group,Teleostei,1.44,34.4497607656,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Melamphaes lugubris,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Melamphaes,lugubris,Teleostei,15.3,5.62,Broad group,Teleostei,9.68,63.2679738562,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Nannobrachium regale,Chordata,Teleostei,Myctophiformes,Myctophidae,Nannobrachium,regale,Teleostei,7.6,7.0,Family,Myctophidae,0.6,7.8947368421,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Nansenia candida,Chordata,Teleostei,Osmeriformes,Microstomatidae,Nansenia,candida,Teleostei,10.4,5.62,Broad group,Teleostei,4.78,45.9615384615,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Oneirodes thompsoni,Chordata,Teleostei,Lophiiformes,Oneirodidae,Oneirodes,thompsoni,Teleostei,3.16,5.62,Broad group,Teleostei,2.46,77.8481012658,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Poromitra crassiceps,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Poromitra,crassiceps,Teleostei,8.86,5.62,Broad group,Teleostei,3.24,36.5688487585,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Protomyctophum thompsoni,Chordata,Teleostei,Myctophiformes,Myctophidae,Protomyctophum,thompsoni,Teleostei,5.95,7.0,Family,Myctophidae,1.05,17.6470588235,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Scopelosaurus harryi,Chordata,Teleostei,Aulopiformes,Notosudidae,Scopelosaurus,harryi,Teleostei,5.65,5.62,Broad group,Teleostei,0.03,0.5309734513,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Sigmops gracilis,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Sigmops,gracilis,Teleostei,9.83,5.62,Broad group,Teleostei,4.21,42.8280773143,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Stenobrachius leucopsarus,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,Teleostei,9.285,7.0,Family,Myctophidae,2.285,24.6095853527,2
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Stenobrachius nannochir,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,nannochir,Teleostei,9.36,7.0,Family,Myctophidae,2.36,25.2136752137,1
Sinclair et al.,PLOS One,2015,Sinclair et al. | PLOS One | 2015,Tactostoma macropus,Chordata,Teleostei,Stomiiformes,Stomiidae,Tactostoma,macropus,Teleostei,6.53,2.8,Family,Stomiidae,3.73,57.1209800919,1
Spear,Journal of Animal Ecology,1993,Spear | Journal of Animal Ecology | 1993,Chilara taylori,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Chilara,taylori,Teleostei,3.39,5.62,Broad group,Teleostei,2.23,65.7817109145,1
Spear,Journal of Animal Ecology,1993,Spear | Journal of Animal Ecology | 1993,Citharichthys sordidus,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus,Teleostei,3.47,5.62,Broad group,Teleostei,2.15,61.9596541787,1
Spear,Journal of Animal Ecology,1993,Spear | Journal of Animal Ecology | 1993,Loligo opalescens,Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,opalescens,Cephalopoda,4.14,4.7,Genus,Loligo,0.56,13.5265700483,1
Spear,Journal of Animal Ecology,1993,Spear | Journal of Animal Ecology | 1993,Porichthys notatus,Chordata,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,notatus,Teleostei,5.23,5.62,Broad group,Teleostei,0.39,7.4569789675,1
Spear,Journal of Animal Ecology,1993,Spear | Journal of Animal Ecology | 1993,Sebastes jordani,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,jordani,Teleostei,4.85,5.1,Family,Scorpaenidae,0.25,5.1546391753,1
Spear,Journal of Animal Ecology,1993,Spear | Journal of Animal Ecology | 1993,Spirinchus starksi,Chordata,Teleostei,Osmeriformes,Osmeridae,Spirinchus,starksi,Teleostei,4.33,9.04,Family,Osmeridae,4.71,108.7759815242,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Aglaophamus igalis,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,igalis,Annelida,3.8,1.06,Genus,Aglaophamus,2.74,72.1052631579,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Alosa aestivalis,Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,aestivalis,Teleostei,7.7,6.99,Genus,Alosa,0.71,9.2207792208,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Alosa mediocris,Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,mediocris,Teleostei,5.5,6.99,Genus,Alosa,1.49,27.0909090909,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Alosa sapidissima,Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,sapidissima,Teleostei,4.9,6.99,Genus,Alosa,2.09,42.6530612245,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Ammodytes americanus,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,americanus,Teleostei,6.8,5.8,Genus,Ammodytes,1.0,14.7058823529,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Ampelisca agassizi,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,agassizi,Crustacea,8.8,3.9,Broad group,Crustacea,4.9,55.6818181818,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Anchoa hepsetus,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,hepsetus,Teleostei,5.8,5.2,Family,Engraulidae,0.6,10.3448275862,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Anchoa mitchilli,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,mitchilli,Teleostei,5.9,5.2,Family,Engraulidae,0.7,11.8644067797,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Aplidium pellucidum,Chordata,Ascidiacea,Enterogona,Polyclinidae,Aplidium,pellucidum,Other invertebrates,1.4,3.0,Broad group,Other invertebrates,1.6,114.2857142857,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Arbacia punctulata,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,punctulata,Other invertebrates,0.6,3.0,Broad group,Other invertebrates,2.4,400.0,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Arctica islandica,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,islandica,Mollusca (non-cephalopods),1.6,2.14,Broad group,Mollusca (non-cephalopods),0.54,33.75,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Astarte undata,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,undata,Mollusca (non-cephalopods),6.2,2.14,Broad group,Mollusca (non-cephalopods),4.06,65.4838709677,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Asterias forbesi,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,forbesi,Other invertebrates,2.2,3.0,Broad group,Other invertebrates,0.8,36.3636363636,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Boltenia ovifera,Chordata,Ascidiacea,Pleurogona,Pyuridae,Boltenia,ovifera,Other invertebrates,3.2,3.0,Broad group,Other invertebrates,0.2,6.25,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Brevoortia tyrannus,Chordata,Teleostei,Clupeiformes,Clupeidae,Brevoortia,tyrannus,Teleostei,7.5,6.99,Family,Clupeidae,0.51,6.8,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Buccinum undatum,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,undatum,Mollusca (non-cephalopods),7.7,2.14,Broad group,Mollusca (non-cephalopods),5.56,72.2077922078,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Bugula flabellata,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,flabellata,Other invertebrates,2.3,3.0,Broad group,Other invertebrates,0.7,30.4347826087,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Busycon carica,Mollusca,Gastropoda,Neogastropoda,Melongenidae,Busycon,carica,Mollusca (non-cephalopods),4.9,2.14,Broad group,Mollusca (non-cephalopods),2.76,56.3265306122,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Busycotypus canaliculatus,Mollusca,Gastropoda,Neogastropoda,Melongenidae,Busycotypus,canaliculatus,Mollusca (non-cephalopods),5.4,2.14,Broad group,Mollusca (non-cephalopods),3.26,60.3703703704,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Cancer irroratus,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,irroratus,Crustacea,3.7,3.9,Broad group,Crustacea,0.2,5.4054054054,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Caranx crysos,Chordata,Teleostei,Perciformes,Carangidae,Caranx,crysos,Teleostei,5.7,5.89,Family,Carangidae,0.19,3.3333333333,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Caudina arenata,Echinodermata,Holothuroidea,Molpadida,Caudinidae,Caudina,arenata,Other invertebrates,8.6,3.0,Broad group,Other invertebrates,5.6,65.1162790698,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Ceriantheopsis americana,Cnidaria,Anthozoa,Ceriantharia,Cerianthidae,Ceriantheopsis,americana,Cnidaria,4.7,0.7,Broad group,Cnidaria,4.0,85.1063829787,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Chlamys islandica,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,islandica,Mollusca (non-cephalopods),5.3,2.14,Broad group,Mollusca (non-cephalopods),3.16,59.6226415094,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Chloroscombrus chrysurus,Chordata,Teleostei,Perciformes,Carangidae,Chloroscombrus,chrysurus,Teleostei,8.8,5.89,Family,Carangidae,2.91,33.0681818182,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Chone infundibuliformis,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,infundibuliformis,Annelida,3.8,1.28,Broad group,Annelida,2.52,66.3157894737,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Citharichthys arctifrons,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,arctifrons,Teleostei,4.3,5.62,Broad group,Teleostei,1.32,30.6976744186,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Colus pygmaeus,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Colus,pygmaeus,Mollusca (non-cephalopods),0.9,2.14,Broad group,Mollusca (non-cephalopods),1.24,137.7777777778,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Colus stimpsoni,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Colus,stimpsoni,Mollusca (non-cephalopods),5.2,2.14,Broad group,Mollusca (non-cephalopods),3.06,58.8461538462,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Conger oceanicus,Chordata,Teleostei,Anguilliformes,Congridae,Conger,oceanicus,Teleostei,9.8,5.62,Broad group,Teleostei,4.18,42.6530612245,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Crangon septemspinosa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,septemspinosa,Crustacea,3.7,3.9,Broad group,Crustacea,0.2,5.4054054054,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Ctenodiscus crispatus,Echinodermata,Asteroidea,Paxillosida,Ctenodiscidae,Ctenodiscus,crispatus,Other invertebrates,2.8,3.0,Broad group,Other invertebrates,0.2,7.1428571429,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Cucumaria frondosa,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,frondosa,Other invertebrates,3.4,3.0,Broad group,Other invertebrates,0.4,11.7647058824,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Cyanea capillata,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,capillata,Cnidaria,0.1,0.7,Broad group,Cnidaria,0.6,600.0,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Cyclocardia borealis,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,borealis,Mollusca (non-cephalopods),1.3,2.14,Broad group,Mollusca (non-cephalopods),0.84,64.6153846154,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Cynoscion regalis,Chordata,Teleostei,Perciformes,Sciaenidae,Cynoscion,regalis,Teleostei,4.8,5.56,Family,Sciaenidae,0.76,15.8333333333,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Decapterus punctatus,Chordata,Teleostei,Perciformes,Carangidae,Decapterus,punctatus,Teleostei,6.0,5.89,Family,Carangidae,0.11,1.8333333333,1
Steimle and Terranova,Journal of Northwest Atlantic Fishery Science,1985,Steimle and Terranova | Journal of Northwest Atlantic Fishery Science | 1985,Dichelopandalus leptocerus,Arthropoda,Malacostraca,Decapoda,Pandalidae,Dichelopandalus,leptocerus,Crustacea,5.5,3.9,Broad group,Crustacea,1.6,29.0909090909,1
